Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,uses
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium*,Chlorothiazide Sodium*, 
J1212,"Injection, dmso, dimethyl sulfoxide, 50%, 50 ml",Rimso-50,Dimethyl Sulfoxide,This medication is used to treat a certain bladder condition (interstitial cystitis). Dimethyl sulfoxide is also known as DMSO. It is believed to reduce swelling and pain due to interstitial cystitis and may improve blood supply to the treated area.
J1230,"Injection, methadone hcl, up to 10 mg",Methadone HCL,Methadone HCL,This medication is used to treat moderate to severe pain. Methadone is an opioid (narcotic) medication. It acts on certain centers in the brain to relieve pain. This medication is also used to treat addiction to opioids (such as heroin) as part of an approved treatment program. It helps prevent withdrawal symptoms caused by stopping other opioids.
J1240,"Injection, dimenhydrinate, up to 50 mg",Dimenhydrinate,Dimenhydrinate,"Dimenhydrinate is an antihistamine used to prevent and treat nausea, vomiting and dizziness caused by motion sickness when medication cannot be given by mouth. Dimenhydrinate injection should not be used in newborns because of an increased risk of side effects."
J1245,"Injection, dipyridamole, per 10 mg",Dipyridamole,Dipyridamole, 
J1250,"Injection, dobutamine hydrochloride, per 250 mg",Dobutamine HCL*,Dobutamine HCL*, 
J1265,"Injection, dopamine hcl, 40 mg",Dopamine HCL*,Dopamine HCL*, 
J1267,"Injection, doripenem, 10 mg",Doribax,Doripenem,Doripenem is used to treat a wide variety of bacterial infections. This medication is known as a carbapenem-type antibiotic. It works by stopping the growth of bacteria.
J1300,"Injection, eculizumab, 10 mg",Soliris,Eculizumab,"This medication is used to treat a certain blood disorder (paroxysmal nocturnal hemoglobinuria). This disorder can cause a decrease in red blood cells (anemia). This medication helps to block the decrease in red blood cells and can improve the symptoms of anemia (e.g., tiredness, shortness of breath) and decrease the need for blood transfusions. This medication may also be used to treat a certain immune system disorder (atypical Hemolytic Uremic Syndrome). It helps to prevent blood clots caused by this disorder. Eculizumab is also used to treat a certain muscle condition (generalized Myasthenia Gravis). It may help to improve symptoms of this condition (such as difficulty swallowing, trouble breathing)."
J1325,"Injection, epoprostenol, 0.5 mg",Epoprostenol Sodium*,Epoprostenol Sodium (Glycine)*,This medication is used to treat high blood pressure in the lungs (pulmonary arterial hypertension). It helps to increase your ability to exercise and improve symptoms such as shortness of breath and tiredness. It works by relaxing and widening the blood vessels (arteries) in the lungs and other parts of the body so that blood can flow more easily. This medication belongs to a class of drugs known as vasodilators.
J1335,"Injection, ertapenem sodium, 500 mg",Invanz,Ertapenem Sodium,Ertapenem is used to prevent and treat a wide variety of bacterial infections. This medication is known as a carbapenem-type antibiotic. It works by stopping the growth of bacteria.
J1364,"Injection, erythromycin lactobionate, per 500 mg",Erythrocin Lactobionate,Erythromycin Lactobionate,This medication is an antibiotic given by vein (IV) to treat certain bacterial infections when medications cannot be taken by mouth. This medication is known as a macrolide (erythromycin-type) antibiotic. It works by stopping the growth of bacteria.
J1380,"Injection, estradiol valerate, up to 10 mg",Delestrogen*,Estradiol Valerate*,"This medication is a female hormone (estrogen). It is used by women to help reduce symptoms of menopause (such as hot flashes, vaginal dryness). These symptoms are caused by the body making less estrogen. If you are using this medication to treat symptoms only in and around the vagina, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. This medication may also be used by women who are not able to produce enough estrogen (for example, due to hypogonadism, primary ovarian failure) and by men to treat prostate cancer."
J1410,"Injection, estrogen conjugated, per 25 mg",Premarin,"Estrogens, Conjugated", 
J1439,"Injection, ferric carboxymaltose, 1 mg",Injectafer,Ferric Carboxymaltose,"This medication is used to treat ""iron-poor"" blood (iron deficiency anemia). Low iron levels can occur due to many conditions, including when your body cannot get enough iron from food (because of poor nutrition or poor absorption) or when there is long-term blood loss. Ferric carboxymaltose is a form of injectable iron that is used if you cannot take iron by mouth because of side effects or an unsuccessful response to treatment. It is also used by people who have anemia due to long-term kidney disease. Iron is an important mineral that your body needs to make enough healthy red blood cells to carry oxygen throughout your body."
J1442,"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram",Neupogen,Filgrastim,"Filgrastim is a man-made version of a certain natural substance made in your body. It is used to help your body make more white blood cells. White blood cells are important to help you fight off infections. Filgrastim is given to people whose ability to make white blood cells is reduced (for instance, due to chemotherapy, chronic neutropenia, or exposure to large amounts of radiation). It is also used in certain treatment procedures (such as bone marrow/stem cell transplant)."
J1447,"Injection, tbo-filgrastim, 1 microgram",Granix,Tbo-Filgrastim,"This medication is given to people receiving certain chemotherapy drugs that cause a decrease in white blood cells. When white blood cell counts are very low, it increases the risk of serious infections. Tbo-filgrastim belongs to a class of drugs known as granulocyte colony stimulating factors (G-CSF). It works by stimulating your bone marrow to make more white blood cells. This effect helps lessen the risk of serious infections after chemotherapy."
J1450,"Injection fluconazole, 200 mg",Fluconazole In Dextrose*,"Fluconazole In Dextrose,Iso-Os*",Fluconazole is an azole antifungal used to prevent and treat a variety of fungal infections. It works by stopping the growth of fungus.
J1453,"Injection, fosaprepitant, 1 mg",Emend,Fosaprepitant Dimeglumine,Fosaprepitant is used with other medications to help prevent nausea and vomiting caused by cancer drug treatment (chemotherapy). Fosaprepitant works by blocking one of the body's natural substances (substance P/neurokinin 1) that causes vomiting. This medication will not treat nausea or vomiting that has already started. Ask your doctor what you should do if you already have nausea or vomiting.
J1459,"Injection, immune globulin (privigen), intravenous, non-lyophilized (e.g., liquid), 500 mg",Privigen,Immun Glob G(Igg)/Pro/Iga 0-50,"This medication is used to strengthen the body's natural defense system (immune system) to lower the risk of infection in persons with a weakened immune system. This medication is made from healthy human blood that has a high level of certain defensive substances (antibodies), which help fight infections. It is also used to increase the blood count (platelets) in persons with a certain blood disorder (idiopathic thrombocytopenia purpura-ITP). Platelets are needed to stop bleeding and form blood clots. Some immune globulin products may also be used to treat a certain type of muscle weakness problem (multifocal motor neuropathy) or a certain nerve disorder (chronic inflammatory demyelinating polyneuropathy-CIDP). Some products may also be used to prevent certain blood vessel disorders in people with Kawasaki syndrome."
J1460,"Injection, gamma globulin, intramuscular, 1 cc",Gamastan S-D (J1460),Immune Globul G (Igg)/Glycine,"This medication is used to provide protection (antibodies) against certain virus infections (hepatitis A, measles, chickenpox, rubella) in people who have not been vaccinated or have not had the infection before. It is also used to strengthen the body's natural defense system (immune system) to lower the risk of infection in persons with a certain immune system problem (immunoglobulin deficiency). This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies), which help fight infections. Routine vaccination is usually the best way to protect against infection. Talk with your doctor about a recommended vaccination schedule."
J1556,"Injection, immune globulin (bivigam), 500 mg",Bivigam,Immun Glob G(Igg)/Gly/Iga Ov50,"This medication is used to strengthen the body's natural defense system (immune system) to lower the risk of infection in persons with a weakened immune system. This medication is made from healthy human blood that has a high level of certain defensive substances (antibodies), which help fight infections. It is also used to increase the blood count (platelets) in persons with a certain blood disorder (idiopathic thrombocytopenia purpura-ITP). Platelets are needed to stop bleeding and form blood clots. Some immune globulin products may also be used to treat a certain type of muscle weakness problem (multifocal motor neuropathy) or a certain nerve disorder (chronic inflammatory demyelinating polyneuropathy-CIDP). Some products may also be used to prevent certain blood vessel disorders in people with Kawasaki syndrome."
J1557,"Injection, immune globulin, (gammaplex), intravenous, non-lyophilized (e.g., liquid), 500 mg",Gammaplex,Immun Glob G/Sorb/Gly/Iga 0-50,"This medication is used to strengthen the body's natural defense system (immune system) to lower the risk of infection in persons with a weakened immune system. This medication is made from healthy human blood that has a high level of certain defensive substances (antibodies), which help fight infections. It is also used to increase the blood count (platelets) in persons with a certain blood disorder (idiopathic thrombocytopenia purpura-ITP). Platelets are needed to stop bleeding and form blood clots. Some immune globulin products may also be used to treat a certain type of muscle weakness problem (multifocal motor neuropathy) or a certain nerve disorder (chronic inflammatory demyelinating polyneuropathy-CIDP). Some products may also be used to prevent certain blood vessel disorders in people with Kawasaki syndrome."
J1559,"Injection, immune globulin (hizentra), 100 mg",Hizentra,Immun Glob G(Igg)/Pro/Iga 0-50,This medication is used to boost the body's natural defense system against infection in persons with a weakened immune system (primary immune deficiency). Immune globulin contains natural substances called antibodies (a type called IgG) that come from healthy human blood (plasma). These antibodies help protect your body against infections and help you to fight an infection if you get sick.
J1560,"Injection, gamma globulin, intramuscular, over 10 cc",Gamastan S-D (J1560),Immune Globul G (Igg)/Glycine,"This medication is used to provide protection (antibodies) against certain virus infections (hepatitis A, measles, chickenpox, rubella) in people who have not been vaccinated or have not had the infection before. It is also used to strengthen the body's natural defense system (immune system) to lower the risk of infection in persons with a certain immune system problem (immunoglobulin deficiency). This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies), which help fight infections. Routine vaccination is usually the best way to protect against infection. Talk with your doctor about a recommended vaccination schedule."
J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",Gammaked*,Immune Globul G/Gly/Iga Avg 46*,"This medication is used in people with a certain type of weakened immune system (primary immune deficiency) to strengthen it and to lower the risk of infection. This medication is made from human blood that has a high level of antibodies which help fight infections. This product is also used to increase the number of certain blood cells (platelets) in people with a certain blood disorder (idiopathic thrombocytopenic purpura-ITP). Platelets are needed to stop bleeding and to form normal blood clots. In addition, this medication is used to treat a certain nerve disorder (chronic inflammatory demyelinating polyneuropathy-CIDP). This disorder causes weakness and numbness/tingling/pain in the arms and legs. This medication helps to improve these symptoms and prevents relapse."
J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",Carimune NF Nanofiltered*,Immun Globg(Igg)/Sucr/Iga Ov50*,"This medication is used to strengthen the body's natural defense system (immune system) to lower the risk of infection in persons with a weakened immune system. This medication is made from healthy human blood that has a high level of certain defensive substances (antibodies), which help fight infections. It is also used to increase the blood count (platelets) in persons with a certain blood disorder (idiopathic thrombocytopenia purpura-ITP). Platelets are needed to stop bleeding and form blood clots. Some immune globulin products may also be used to treat a certain type of muscle weakness problem (multifocal motor neuropathy) or a certain nerve disorder (chronic inflammatory demyelinating polyneuropathy-CIDP). Some products may also be used to prevent certain blood vessel disorders in people with Kawasaki syndrome."
J1568,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg",Octagam,Immun Globg(Igg)/Malt/Iga Ov50,"This medication is used to strengthen the body's natural defense system (immune system) to lower the risk of infection in persons with a weakened immune system. This medication is made from healthy human blood that has a high level of certain defensive substances (antibodies), which help fight infections. It is also used to increase the blood count (platelets) in persons with a certain blood disorder (idiopathic thrombocytopenia purpura-ITP). Platelets are needed to stop bleeding and form blood clots. Some immune globulin products may also be used to treat a certain type of muscle weakness problem (multifocal motor neuropathy) or a certain nerve disorder (chronic inflammatory demyelinating polyneuropathy-CIDP). Some products may also be used to prevent certain blood vessel disorders in people with Kawasaki syndrome."
J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",Gammagard Liquid,Immun Glob G(Igg)/Gly/Iga Ov50,"This medication is used in people with a certain type of weakened immune system (primary immune deficiency) to strengthen it and to lower the risk of infection. This medication is made from human blood that has a high level of antibodies which help fight infections. This product is also used to increase the number of certain blood cells (platelets) in people with a certain blood disorder (idiopathic thrombocytopenic purpura-ITP). Platelets are needed to stop bleeding and to form normal blood clots. In addition, this medication is used to treat a certain nerve disorder (chronic inflammatory demyelinating polyneuropathy-CIDP). This disorder causes weakness and numbness/tingling/pain in the arms and legs. This medication helps to improve these symptoms and prevents relapse."
J1570,"Injection, ganciclovir sodium, 500 mg",Cytovene*,Ganciclovir Sodium*,"Ganciclovir is an anti-viral drug. It is used to prevent disease caused by a virus called cytomegalovirus (CMV) in people who have received organ or bone marrow transplants. CMV disease can lead to serious infections in the body, including an infection in the eye, called CMV retinitis, that can cause blindness. Ganciclovir is also used to treat people with weakened immune systems (including people with AIDS) who have CMV retinitis. Ganciclovir works by slowing the growth of the CMV virus. It helps control CMV retinitis and decrease the risk of blindness. It also helps prevent the spread of infection to other areas of the body. Ganciclovir is not a cure for CMV disease. Some people may have worsening CMV retinitis even with treatment. Therefore, it is important to have your eyes checked regularly by your doctor."
J1571,"Injection, hepatitis b immune globulin (hepagam b), intramuscular, 0.5 ml",Hepagam B,Hepatitis B Immun Glob/Maltose,This medication is used to prevent a certain serious virus infection (hepatitis B) in people who have been exposed to this virus under certain conditions (such as direct contact with blood or body fluids containing this virus). Certain brands of this medication may also be given after a liver transplant to prevent return of hepatitis B infection in people with previous infection. Ask your doctor or pharmacist if you have questions about your particular brand. This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies) that help fight hepatitis B.
J1572,"Injection, immune globulin, (flebogamma/flebogamma dif), intravenous, non-lyophilized (e.g., liquid), 500 mg",Flebogamma Dif,Imm Glob G (Igg)/Sorb/Iga 0-50,"This medication is used to strengthen the body's natural defense system (immune system) to lower the risk of infection in persons with a weakened immune system. This medication is made from healthy human blood that has a high level of certain defensive substances (antibodies), which help fight infections. It is also used to increase the blood count (platelets) in persons with a certain blood disorder (idiopathic thrombocytopenia purpura-ITP). Platelets are needed to stop bleeding and form blood clots. Some immune globulin products may also be used to treat a certain type of muscle weakness problem (multifocal motor neuropathy) or a certain nerve disorder (chronic inflammatory demyelinating polyneuropathy-CIDP). Some products may also be used to prevent certain blood vessel disorders in people with Kawasaki syndrome."
J1575,"Injection, immune globulin/hyaluronidase, (hyqvia), 100 mg immuneglobulin",Hyqvia,"Igg/Hyaluronidase,recombinant",This kit contains two medications: immune globulin and hyaluronidase. Immune globulin is used to boost the body's natural defense system against infection in persons with a weakened immune system (primary immune deficiency). Immune globulin contains natural substances called antibodies (a type called IgG) that come from healthy human blood (plasma). These antibodies help protect your body against infections and help you to fight an infection if you get sick. Hyaluronidase is used to help the body absorb the immune globulin.
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate*,Gentamicin Sulfate*,This medication is used to prevent or treat a wide variety of bacterial infections. Gentamicin belongs to a class of drugs known as aminoglycoside antibiotics. It works by stopping the growth of bacteria.
J1602,"Injection, golimumab, 1 mg, for intravenous use",Simponi Aria,Golimumab,"This medication is used to treat certain types of arthritis (such as rheumatoid, psoriatic, ankylosing spondylitis). Golimumab belongs to a class of drugs known as TNF blockers. It works by blocking a protein (tumor necrosis factor - TNF) in your body's immune system that causes joint swelling and damage. Golimumab helps slow joint damage and reduce joint pain/swelling so you can move better."
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagen*,"Glucagon,human Recombinant*","This medication is the same as your body's own glucagon, a natural substance that raises blood sugar by causing the body to release sugar stored in the liver. It is used to quickly increase blood sugar levels in diabetics with low blood sugar (hypoglycemia) who cannot take a quick source of sugar (e.g., fruit juices, table sugar, regular soda) by mouth. Glucagon is also given before some X-ray procedures of the gut to slow down the movement of the stomach, intestines, and colon, thereby giving a better X-ray picture."
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL (J1626)*,Granisetron HCL*,This medication is used alone or with other medications to prevent nausea and vomiting caused by cancer drug treatment (chemotherapy). It is also used to prevent and treat nausea and vomiting after surgery in adults. Granisetron works by blocking one of the body's natural substances (serotonin) that can cause vomiting.
J1630,"Injection, haloperidol, up to 5 mg",Haldol*,Haloperidol Lactate*, 
J1631,"Injection, haloperidol decanoate, per 50 mg",Haldol Decanoate 100*,Haloperidol Decanoate*,"Haloperidol decanoate is used for long-term treatment of a certain mental/mood disorder (schizophrenia). It may be used in people who have trouble remembering to take medication every day. This medicine helps you to think more clearly, feel less nervous, and take part in everyday life. It can also prevent suicide in people who are likely to harm themselves. It also reduces aggression and the desire to hurt others. It can decrease negative thoughts and hallucinations. Haloperidol decanoate is a long-acting form of psychiatric medication (antipsychotic-type) that works by helping to restore the balance of certain natural substances (neurotransmitters) in the brain."
J1640,"Injection, hemin, 1 mg",Panhematin,Hemin,"This medication is used to treat the symptoms that occur with certain blood disorders (porphyrias). Other treatments are recommended for trial before using hemin, also called hematin. Hemin is not a cure for porphyria. In some cases, this medication may relieve symptoms such as pain, high blood pressure, rapid heartbeat, or mental changes that may occur during an acute attack of porphyria. If you have any questions about the use of this medication, consult your doctor."
J1642,"Injection, heparin sodium, (heparin lock flush), per 10 units",Heparin Flush*,"Heparin Sod,porcine/0.9 % NaCl*",This medication is used to keep IV catheters open and flowing freely. Heparin helps to keep blood flowing smoothly and from clotting in the catheter by making a certain natural substance in your body (anti-clotting protein) work better. It is known as an anticoagulant. This form of heparin must not be used to treat or prevent blood clots in the body. Some products should not be used for newborns due to an increased risk of side effects. Check with your doctor or pharmacist for more details.
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium*,"Heparin Sodium,porcine*","This medication is used to prevent and treat blood clots. It may be used to prevent and treat blood clots in the lungs/legs (including in patients with atrial fibrillation). It may be used to treat certain blood clotting disorders. It may also be used to prevent blood clots after surgery, during dialysis, during blood transfusions, when collecting blood samples, or when a person is unable to move for a long time. Heparin helps to keep blood flowing smoothly by making a certain natural substance in your body (anti-clotting protein) work better. It is known as an anticoagulant."
J1645,"Injection, dalteparin sodium, per 2500 iu",Fragmin,"Dalteparin Sodium,porcine","Dalteparin is used to treat and prevent harmful blood clots. Preventing harmful blood clots helps to reduce the risk of a stroke or heart attack. This medication helps keep your blood flowing smoothly by lowering the activity of clotting proteins in the blood. Dalteparin is a type of heparin, and works as an anticoagulant (commonly called a ""blood thinner""). Conditions that increase your risk of developing blood clots include certain types of surgeries (such as hip replacement or abdominal surgery), long periods of being in one position (immobile), certain types of heart attack, and a certain type of chest pain called unstable angina. For some medical conditions, dalteparin may be used in combination with other ""blood thinners."" Dalteparin may also be used to treat and prevent clots from coming back in patients with cancer."
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium*,Enoxaparin Sodium*,"Enoxaparin is used to prevent and treat harmful blood clots. This helps to reduce the risk of a stroke or heart attack. This medication helps keep your blood flowing smoothly by lowering the activity of clotting proteins in the blood. Enoxaparin is an anticoagulant, also known as a ""blood thinner."" It is a type of heparin. Conditions which increase your risk of developing blood clots include certain types of surgeries (such as knee/hip replacement, abdominal), long periods of being immobile, certain types of heart attack, and a specific type of chest pain called unstable angina. For some medical conditions, enoxaparin may be used in combination with other ""blood thinners."""
J1652,"Injection, fondaparinux sodium, 0.5 mg",Arixtra*,Fondaparinux Sodium*,"Fondaparinux is used to treat serious blood clots in the legs and/or lungs. It is usually used with another ""blood thinner"" medication (warfarin). If untreated, blood clots can travel to the lungs, heart, or brain, causing serious (possibly fatal) breathing problems, heart attack, or stroke. This drug may also be used to prevent blood clots after certain surgeries with an increased risk of blood clots (such as hip fracture, abdominal, knee/hip replacement). Fondaparinux is known as a ""blood thinner"" (anticoagulant). It is a drug similar to heparin that works by blocking certain natural substances in the blood that cause clotting."
J1670,"Injection, tetanus immune globulin, human, up to 250 units",Hypertet S-D,Tetanus Immune Globulin/PF, 
J1720,"Injection, hydrocortisone sodium succinate, up to 100 mg",Solu-Cortef*,HydrocortIsone Sod Succinate*,"This medication is used to treat various conditions such as arthritis, severe allergies, blood diseases, breathing problems, certain cancers, eye diseases, intestinal disorders, and skin diseases. It weakens your immune system's response to various diseases to reduce symptoms such as swelling and allergic-type reactions. Hydrocortisone may also be used with other medications to replace certain hormones if you have decreased adrenal gland function or Addison's disease. Hydrocortisone belongs to a class of drugs known as corticosteroids. Hydrocortisone injection is used when a similar drug cannot be taken by mouth or when a very fast treatment is needed for patients with severe medical conditions. Talk to your doctor about the risks and benefits of hydrocortisone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use."
J1740,"Injection, ibandronate sodium, 1 mg",Boniva*,Ibandronate Sodium*,"Ibandronate is used to prevent and treat certain types of bone loss (osteoporosis). Osteoporosis causes bones to become thinner and break more easily. Your chance of developing osteoporosis increases after menopause, as you age, or if you take corticosteroid medications (such as prednisone) for long periods. This medication works by slowing bone loss to help maintain strong bones and reduce the risk of broken bones (fractures). Ibandronate belongs to a class of medications called bisphosphonates."
J1742,"Injection, ibutilide fumarate, 1 mg",Corvert*,Ibutilide Fumarate*, 
J1743,"Injection, idursulfase, 1 mg",Elaprase,Idursulfase, 
J1745,"Injection, infliximab, excludes biosimilar, 10 mg",Remicade,Infliximab,"This medication is used to treat certain types of arthritis (rheumatoid arthritis, arthritis of the spine, psoriatic arthritis), certain bowel diseases (Crohn's disease, ulcerative colitis), and a certain severe skin disease (chronic plaque psoriasis). In these conditions, the body's defense system (immune system) attacks healthy tissues. Infliximab works by blocking the actions of a certain natural substance (tumor necrosis factor alpha) in the body. This helps to decrease swelling (inflammation) and weaken your immune system, which slows or stops the damage from the disease."
J1750,"Injection, iron dextran, 50 mg",Infed,Iron Dextran Complex,"This medication is used to treat ""iron-poor"" blood (anemia) in people who cannot take iron by mouth because of side effects or because their anemia has not been successfully treated by it. Low iron levels can occur when the body can't get enough iron from food (poor nutrition, poor absorption) or when there is a large or long-term blood loss (e.g., hemophilia, stomach bleeding). It is also used by people who have anemia due to long-term kidney disease. Iron is an important part of your red blood cells and is needed to carry oxygen in the body."
J1756,"Injection, iron sucrose, 1 mg",Venofer,Iron Sucrose Complex,"This medicine is used to treat ""iron-poor"" blood (anemia) in people with long-term kidney disease. You may need extra iron because of blood loss during kidney dialysis. Your body may also need more iron if you use the drug erythropoietin to help make new red blood cells. Iron is an important part of your red blood cells and is needed to transport oxygen in the body. Many patients with kidney disease cannot get enough iron from food and require injections."
J1786,"Injection, imiglucerase, 10 units",Cerezyme,Imiglucerase,"Imiglucerase is used to treat a certain rare genetic problem (Gaucher disease). Imiglucerase replaces a certain natural substance (an enzyme called glucocerebrosidase) that is missing in people with Gaucher disease. This medication improves blood, bone, liver, and spleen problems caused by Gaucher disease. Imiglucerase does not correct the genetic problem, and treatment must be continued for life."
J1800,"Injection, propranolol hcl, up to 1 mg",Propranolol HCL,Propranolol HCL, 
J1815,"Injection, insulin, per 5 units",Humalog (J1815)*,Insulin Lispro*,"Insulin lispro is used with a proper diet and exercise program to control high blood sugar in people with diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Insulin lispro is a man-made product that is similar to human insulin. It replaces the insulin that your body would normally make. Insulin lispro starts working faster and lasts for a shorter time than regular insulin. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication is usually used with a medium- or long-acting insulin product. Insulin lispro may also be used with other oral diabetes medications (such as sulfonylureas like glyburide or glipizide)."
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Humalog (J1817)*,Insulin Lispro*,"Insulin lispro is used with a proper diet and exercise program to control high blood sugar in people with diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Insulin lispro is a man-made product that is similar to human insulin. It replaces the insulin that your body would normally make. Insulin lispro starts working faster and lasts for a shorter time than regular insulin. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication is usually used with a medium- or long-acting insulin product. Insulin lispro may also be used with other oral diabetes medications (such as sulfonylureas like glyburide or glipizide)."
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,"Ketorolac is used for the short-term treatment of moderate to severe pain. It is usually used before or after medical procedures or after surgery. Reducing pain helps you recover more comfortably so that you can return to your normal daily activities. This medication is a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever. Ketorolac should not be used for mild or long-term painful conditions (such as arthritis)."
J1930,"Injection, lanreotide, 1 mg",Somatuline Depot,Lanreotide Acetate,"This medication is a long-acting form of lanreotide. Lanreotide is used to treat a condition called acromegaly that occurs when the body makes too much of a certain natural substance called growth hormone. It is used when surgery or radiation treatment have not been fully successful or cannot be used. Treating acromegaly helps reduce the risk of serious problems such as diabetes and heart disease. Lanreotide works by decreasing the amount of growth hormone to normal levels. This drug is not a cure for acromegaly. It is used for the long-term treatment of this condition. This medication is also used to treat certain cancer or tumors of the stomach, intestines, or pancreas. It may help to slow down the growth of these tumors. Lanreotide is also used to treat carcinoid syndrome. It may help reduce the need to use another medication to treat diarrhea or flushing caused by carcinoid syndrome."
J1931,"Injection, laronidase, 0.1 mg",Aldurazyme,Laronidase, 
J1940,"Injection, furosemide, up to 20 mg",Furosemide,Furosemide,"This medication is known as a diuretic (like a ""water pill""). It helps your body get rid of extra water by increasing the amount of urine you make. Getting rid of extra water decreases the strain on your heart and blood vessels, thereby lowering high blood pressure and reducing your risk of strokes, heart attacks, and kidney problems. This effect can also improve symptoms such as trouble breathing and swelling (edema). This injectable form of furosemide is used when the drug cannot be taken by mouth, especially in patients with severe medical conditions."
J1950,"Injection, leuprolide acetate (for depot suspension), per 3.75 mg",Lupron Depot*,Leuprolide Acetate*,"Leuprolide is used to treat disorders of the uterus (such as endometriosis, fibroids). For the treatment of fibroids, leuprolide is usually given with iron to help improve anemia that is caused by too much vaginal bleeding. Leuprolide helps to reduce symptoms such as pelvic pain, painful/heavy menstrual periods, and abdominal bloating. It works by shrinking the abnormal uterine tissue that causes these symptoms. Uterine tissue needs the female hormone estrogen to grow and spread. Leuprolide helps to decrease the amount of estrogen that is made in the body."
J1953,"Injection, levetiracetam, 10 mg",Keppra*,Levetiracetam*, 
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin*,Levofloxacin*,"This medication is used to treat a variety of bacterial infections. Levofloxacin belongs to a class of drugs known as quinolone antibiotics. It works by stopping the growth of bacteria. Levofloxacin injection is used if you cannot take the medication by mouth. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
J1980,"Injection, hyoscyamine sulfate, up to 0.25 mg",Levsin,Hyoscyamine Sulfate, 
J2001,"Injection, lidocaine hcl for intravenous infusion, 10 mg",Lidocaine HCL In 5% Dextrose,Lidocaine HCL/Dextrose 5 %/PF, 
J2010,"Injection, lincomycin hcl, up to 300 mg",Lincocin*,Lincomycin HCL*, 
J2020,"Injection, linezolid, 200 mg",Linezolid-0.9% NaCl*,Linezolid-0.9% Sodium Chloride*,"Linezolid is an antibiotic used to treat certain serious bacterial infections. It works by stopping the growth of bacteria. Linezolid also belongs to a class of drugs known as MAO inhibitors. It can increase the levels of certain natural substances in the body (such as dopamine, norepinephrine, serotonin) which can increase the chance of certain side effects and food and drug interactions. See How to Use, Side Effects, and Drug Interactions sections for more details."
J2060,"Injection, lorazepam, 2 mg",Ativan*,Lorazepam*,"This medication is used to treat serious seizures that do not stop (status epilepticus). It is also used before surgeries or procedures to cause drowsiness, decrease anxiety, and cause forgetfulness about the procedure or surgery. Lorazepam belongs to a class of medications called benzodiazepines, which produce a calming effect on the brain and nerves (central nervous system). It is thought to work by increasing the effect of a certain natural chemical (GABA) in the brain."
J2150,"Injection, mannitol, 25% in 50 ml",Mannitol,Mannitol, 
J2175,"Injection, meperidine hydrochloride, per 100 mg",Demerol*,Meperidine HCL*,Meperidine is used to help relieve moderate to severe pain. It may also be used before and during surgery or other procedures. Meperidine belongs to a class of drugs known as opioid (narcotic) analgesics and is similar to morphine. It works in the brain to change how your body feels and responds to pain. Meperidine should not be used to treat long-term or ongoing pain. It should only be used to treat sudden episodes of moderate to severe pain. See also Precautions section.
J2185,"Injection, meropenem, 100 mg",Meropenem*,Meropenem*,Meropenem is used to treat a wide variety of bacterial infections. This medication is known as a carbapenem-type antibiotic. It works by stopping the growth of bacteria.
J2248,"Injection, micafungin sodium, 1 mg",Mycamine,Micafungin Sodium,This medication is used to treat a variety of fungal infections. It is also used to prevent fungal infections in patients who are having a stem cell transplant. Micafungin belongs to a class of drugs known as echinocandins. It works by stopping the growth of fungi.
